Timestamp,Occupancy,PIR,CO2_Level,WiFi_Devices,Radio_RSSI,Door_Open,Image_People_Count
2025-01-01 00:00:00,1,1,400.0,2,-67.86055440852323,0,3
2025-01-01 00:01:00,0,0,400.0,0,-82.15752087384045,0,0
2025-01-01 00:02:00,0,0,400.0,0,-74.5276932645001,0,0
2025-01-01 00:03:00,1,1,400.0,2,-52.46742475821992,0,3
2025-01-01 00:04:00,1,0,406.1426145981911,5,-89.69415802049284,0,1
2025-01-01 00:05:00,1,0,414.7761676073082,7,-71.16868351975967,0,3
2025-01-01 00:06:00,0,0,410.09642066770004,0,-76.6395030008058,0,0
2025-01-01 00:07:00,0,0,409.00417823100935,0,-84.01022677452626,0,0
2025-01-01 00:08:00,0,0,407.4718004310511,0,-73.46648393920142,0,0
2025-01-01 00:09:00,1,1,413.78096898422535,4,-51.29419942784313,1,2
2025-01-01 00:10:00,1,0,422.859951612351,2,-76.3829968134586,0,1
2025-01-01 00:11:00,0,0,418.1281508724801,0,-77.94613370762656,0,0
2025-01-01 00:12:00,0,0,416.31984054777934,0,-73.94044803944973,0,0
2025-01-01 00:13:00,0,0,413.32347059061243,0,-77.30425104211001,0,0
2025-01-01 00:14:00,0,0,408.7236582855862,0,-76.34880448068427,0,0
2025-01-01 00:15:00,0,0,403.89819945817106,0,-74.44386636592517,1,0
2025-01-01 00:16:00,0,0,400.8333750511491,0,-75.91326237510195,0,0
2025-01-01 00:17:00,0,0,400.0,0,-79.1170939614525,0,0
2025-01-01 00:18:00,1,0,401.82087197408003,2,-81.04320125736463,0,1
2025-01-01 00:19:00,0,0,400.0,0,-88.95902643959171,0,0
2025-01-01 00:20:00,1,1,406.8439349901001,1,-58.658246007508104,1,2
2025-01-01 00:21:00,0,0,402.39936406827064,0,-70.96332388440862,0,0
2025-01-01 00:22:00,1,1,409.54372490933343,6,-60.28820571395148,0,0
2025-01-01 00:23:00,0,0,406.2328718581554,0,-70.79613626882619,0,0
2025-01-01 00:24:00,0,0,404.9220898801882,0,-82.17127391715019,0,0
2025-01-01 00:25:00,0,0,403.6954933890582,0,-75.50616544076601,0,0
2025-01-01 00:26:00,0,0,400.0,0,-83.4334923531194,0,0
2025-01-01 00:27:00,0,0,400.0,0,-82.81847970275639,0,0
2025-01-01 00:28:00,0,0,400.0,0,-77.92138332766646,0,0
2025-01-01 00:29:00,1,0,402.03582174570806,5,-80.21756088968252,0,1
2025-01-01 00:30:00,1,1,406.10506156210585,4,-52.28729040865599,0,2
2025-01-01 00:31:00,0,0,401.8590791901495,0,-73.6469008817403,0,0
2025-01-01 00:32:00,0,0,400.0,0,-86.13353127508977,0,0
2025-01-01 00:33:00,0,0,400.0,0,-87.3266541689845,0,0
2025-01-01 00:34:00,0,0,400.0,0,-75.09170893334492,0,0
2025-01-01 00:35:00,0,0,400.0,0,-87.25328104835592,0,0
2025-01-01 00:36:00,0,0,400.0,0,-77.81060112091534,0,0
2025-01-01 00:37:00,0,0,400.0,0,-84.66121328833553,0,0
